Type,BodyPart,Equipment,Level,Title
4,13,2,2,1085
4,16,0,2,310
4,13,2,2,1410
1,13,1,0,1184
4,7,2,2,832
4,8,9,2,2832
4,16,4,2,2727
4,5,3,2,1831
4,13,1,2,341
4,10,4,2,2630
4,10,3,2,2795
4,0,2,2,2645
4,13,4,2,2444
4,0,2,2,788
4,13,4,2,1523
4,0,11,2,412
4,14,3,2,1862
4,0,3,2,779
4,13,4,2,1481
4,0,2,2,235
4,13,1,2,385
4,9,11,0,2219
1,8,1,0,2224
4,13,2,2,1999
4,2,2,2,2803
4,3,3,0,2583
4,14,9,2,2476
4,13,9,2,1877
4,13,2,2,1346
4,14,1,2,551
4,5,4,2,656
4,3,0,2,1668
4,13,2,2,1422
4,0,2,2,1552
4,5,2,2,1112
4,0,3,2,2561
4,14,1,2,2264
4,13,3,2,1710
4,10,4,2,2801
4,9,8,2,866
4,0,2,0,2076
4,13,2,2,1055
4,5,2,2,2793
3,13,1,0,2544
4,0,11,2,2647
4,0,2,2,479
4,9,11,0,268
4,9,3,0,777
4,13,2,2,1480
4,3,4,0,2566
4,0,2,2,243
4,13,2,2,1478
4,14,3,2,2610
4,14,3,2,2378
4,13,2,2,1561
4,0,3,2,1772
4,13,2,2,1070
4,5,2,2,1961
4,9,4,2,1452
4,5,4,2,653
5,8,2,0,2615
4,0,2,2,1476
4,3,4,0,2603
4,14,4,2,594
0,13,2,2,2751
4,5,2,2,587
4,5,1,2,614
4,13,2,2,1516
4,10,3,2,2441
4,11,3,2,2782
4,5,1,2,346
4,13,0,0,1216
4,16,3,2,2637
4,13,11,2,1564
1,8,1,0,2512
4,0,2,2,2621
4,5,4,2,1645
4,15,12,0,2241
4,13,9,2,135
4,13,4,2,728
4,0,2,2,1037
5,4,2,2,2866
4,14,11,2,2418
4,13,2,2,1243
4,0,6,2,75
4,5,4,2,2685
4,14,4,2,1751
4,14,4,2,1201
4,14,8,2,2713
4,3,5,2,40
4,10,2,0,1635
4,3,4,2,248
4,13,9,2,2007
4,0,2,2,1389
4,0,2,2,1688
4,11,1,2,359
4,7,0,0,1215
4,13,4,2,1482
4,5,1,2,2093
4,13,9,2,133
4,14,1,2,2398
4,0,2,2,1542
4,14,1,2,156
4,10,11,2,1205
4,0,2,2,1822
6,5,11,0,970
4,14,4,0,691
4,0,2,2,1136
4,0,2,0,477
4,5,4,2,1646
5,9,2,2,2023
4,5,9,0,1817
4,14,11,2,2847
4,9,8,2,905
4,0,4,2,755
4,14,4,2,1750
4,13,2,2,1770
4,0,2,2,1625
4,0,2,0,985
4,10,2,2,283
4,3,4,2,730
4,15,3,2,513
4,13,1,2,386
4,5,2,2,555
4,14,9,2,157
4,9,11,2,2605
4,3,1,2,336
4,0,2,2,2523
4,0,4,2,1591
4,13,2,2,2215
4,13,8,2,1735
4,10,4,2,1282
4,13,2,2,1154
2,5,10,2,1904
4,14,3,2,149
4,0,10,2,1914
4,5,3,2,2825
5,8,2,0,1208
4,11,3,2,52
4,15,0,2,308
4,9,11,2,219
4,3,4,2,2426
4,16,2,2,1368
4,13,8,2,927
4,14,4,2,145
4,0,2,2,839
4,3,2,2,2790
4,14,3,2,182
4,9,11,2,2884
3,10,1,0,363
4,13,4,2,1518
5,10,12,0,588
4,0,2,2,1985
4,5,2,2,2149
4,16,3,2,1785
4,14,4,2,2167
4,0,2,2,1576
4,0,2,2,1241
4,0,4,2,1928
4,12,2,0,2012
4,0,6,2,784
4,0,2,2,1329
4,9,0,2,2774
4,4,9,2,1811
4,13,2,2,1468
4,4,9,2,2482
4,9,11,2,1451
2,13,4,2,722
4,13,2,2,446
4,0,10,2,1905
4,14,1,2,1661
4,14,3,2,168
4,5,2,2,1081
4,0,2,2,1549
3,13,1,2,356
4,11,10,2,187
4,16,1,2,403
4,13,1,2,1169
4,0,2,2,1567
5,10,2,2,2906
4,11,9,0,1818
4,14,8,2,825
4,0,3,2,2559
4,0,4,2,700
4,0,2,2,426
4,0,2,2,1398
4,10,9,0,2247
4,0,4,2,665
1,13,1,2,2156
4,13,4,2,1505
5,4,0,2,2103
4,0,4,2,671
4,3,1,2,2198
2,13,11,0,2362
4,6,4,0,2262
2,13,2,2,1002
4,13,4,2,753
4,0,10,2,1918
5,6,2,0,2901
0,13,9,2,2551
4,9,4,2,422
4,12,2,0,1684
4,0,8,2,474
4,7,4,2,885
6,6,11,0,2208
4,0,2,2,2114
4,13,9,2,1172
4,3,3,2,2823
0,13,9,0,2177
4,0,2,2,1063
4,14,4,2,2401
4,14,4,2,876
4,10,8,2,894
4,13,2,2,1211
